bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
81_20_19	438	511	528	5.8939095	0	1
81_22_91	391	444	451	5.855856	0	1
81_24_32	473	543	553	5.524862	0	1
81_24_40	788	933	955	7.181136	1	0
81_24_79	660	817	837	7.46634	1	0
81_25_69	465	556	571	4.8561153	1	1
81_26_16	731	949	975	5.168776	2	1
81_26_73	397	463	479	6.0475163	1	1
81_26_75	328	385	391	8.571429	2	0
81_27_34	553	665	678	7.981928	2	0
81_27_39	400	472	479	4.661017	0	1
81_27_62	351	406	414	6.1728396	0	1
81_27_87	355	411	421	7.2992697	0	0
81_27_90	679	824	855	5.7038836	0	1
81_28_51	546	671	685	9.104478	0	0
81_29_30	613	746	757	6.6037736	1	1
81_29_39	505	643	658	9.813085	0	0
81_29_61	362	418	425	7.673861	0	0
